pair,ema,bol_band,bol_std,result
ETH/USDT,24,52,25,356.37
BTC/USDT,24,52,25,270.39
DOGE/USDT,24,52,25,611.53
NEAR/USDT,24,52,25,-9.48
TIA/USDT,24,52,25,-81.66
TAO/USDT,24,52,25,-21.15
TON/USDT,24,52,25,-8.2
ETH/USDT,24,52,26,364.02
BTC/USDT,24,52,26,306.5
DOGE/USDT,24,52,26,628.21
NEAR/USDT,24,52,26,-79.85
TIA/USDT,24,52,26,-98.34
TAO/USDT,24,52,26,-27.55
TON/USDT,24,52,26,-11.22
ETH/USDT,24,52,27,409.21
BTC/USDT,24,52,27,347.43
DOGE/USDT,24,52,27,605.71
NEAR/USDT,24,52,27,-94.34
TIA/USDT,24,52,27,-100.07
TAO/USDT,24,52,27,-30.61
TON/USDT,24,52,27,-15.77
ETH/USDT,24,52,28,428.9
BTC/USDT,24,52,28,326.76
DOGE/USDT,24,52,28,611.25
NEAR/USDT,24,52,28,-87.26
TIA/USDT,24,52,28,-94.56
TAO/USDT,24,52,28,-27.34
TON/USDT,24,52,28,-15.86
BTC/USDT,24,52,29,296.02
ETH/USDT,24,52,29,439.95
DOGE/USDT,24,52,29,608.83
NEAR/USDT,24,52,29,-129.81
TIA/USDT,24,52,29,-66.27
TAO/USDT,24,52,29,-42.63
TON/USDT,24,52,29,-11.53
ETH/USDT,24,53,17,530.18
BTC/USDT,24,53,17,294.43
DOGE/USDT,24,53,17,739.25
NEAR/USDT,24,53,17,109.29
TIA/USDT,24,53,17,-65.21
TAO/USDT,24,53,17,29.22
TON/USDT,24,53,17,-5.73
ETH/USDT,24,53,18,545.08
BTC/USDT,24,53,18,319.25
DOGE/USDT,24,53,18,704.68
NEAR/USDT,24,53,18,73.79
TIA/USDT,24,53,18,-52.58
TAO/USDT,24,53,18,27.51
TON/USDT,24,53,18,-6.24
ETH/USDT,24,53,19,509.89
BTC/USDT,24,53,19,352.38
DOGE/USDT,24,53,19,690.57
NEAR/USDT,24,53,19,16.09
TIA/USDT,24,53,19,-76.44
TAO/USDT,24,53,19,16.12
TON/USDT,24,53,19,-5.25
BTC/USDT,24,53,20,315.22
ETH/USDT,24,53,20,530.66
DOGE/USDT,24,53,20,673.26
NEAR/USDT,24,53,20,-0.28
TIA/USDT,24,53,20,-74.06
TAO/USDT,24,53,20,14.82
TON/USDT,24,53,20,-6.52
ETH/USDT,24,53,21,476.18
BTC/USDT,24,53,21,285.7
DOGE/USDT,24,53,21,717.88
NEAR/USDT,24,53,21,-37.16
TIA/USDT,24,53,21,-73.84
TAO/USDT,24,53,21,13.41
TON/USDT,24,53,21,-8.79
ETH/USDT,24,53,22,453.72
BTC/USDT,24,53,22,301.92
DOGE/USDT,24,53,22,681.85
NEAR/USDT,24,53,22,-45.49
TIA/USDT,24,53,22,-74.38
TAO/USDT,24,53,22,-1.23
TON/USDT,24,53,22,-8.33
ETH/USDT,24,53,23,432.77
BTC/USDT,24,53,23,280.49
DOGE/USDT,24,53,23,677.68
NEAR/USDT,24,53,23,-76.08
TIA/USDT,24,53,23,-91.04
TAO/USDT,24,53,23,-17.82
TON/USDT,24,53,23,-5.89
ETH/USDT,24,53,24,417.13
BTC/USDT,24,53,24,254.27
DOGE/USDT,24,53,24,647.19
NEAR/USDT,24,53,24,-17.11
TIA/USDT,24,53,24,-91.65
TAO/USDT,24,53,24,-14.99
TON/USDT,24,53,24,-6.85
ETH/USDT,24,53,25,355.12
BTC/USDT,24,53,25,264.58
DOGE/USDT,24,53,25,626.17
NEAR/USDT,24,53,25,-31.6
TIA/USDT,24,53,25,-99.56
TAO/USDT,24,53,25,-20.09
TON/USDT,24,53,25,-8.2
ETH/USDT,24,53,26,359.31
BTC/USDT,24,53,26,300.63
DOGE/USDT,24,53,26,593.25
NEAR/USDT,24,53,26,-68.54
TIA/USDT,24,53,26,-96.13
TAO/USDT,24,53,26,-30.06
TON/USDT,24,53,26,-8.4
ETH/USDT,24,53,27,388.09
BTC/USDT,24,53,27,345.66
DOGE/USDT,24,53,27,568.23
NEAR/USDT,24,53,27,-51.46
TIA/USDT,24,53,27,-100.32
TAO/USDT,24,53,27,-25.4
TON/USDT,24,53,27,-15.77
ETH/USDT,24,53,28,409.91
BTC/USDT,24,53,28,314.86
DOGE/USDT,24,53,28,627.74
NEAR/USDT,24,53,28,-63.21
TIA/USDT,24,53,28,-92.9
TAO/USDT,24,53,28,-45.41
TON/USDT,24,53,28,-15.86
BTC/USDT,24,53,29,254.45
ETH/USDT,24,53,29,441.96
DOGE/USDT,24,53,29,616.48
NEAR/USDT,24,53,29,-142.19
TIA/USDT,24,53,29,-69.56
TAO/USDT,24,53,29,-44.33
TON/USDT,24,53,29,-11.53
ETH/USDT,24,54,17,471.32
BTC/USDT,24,54,17,291.56
DOGE/USDT,24,54,17,717.31
NEAR/USDT,24,54,17,100.33
TIA/USDT,24,54,17,-57.02
TAO/USDT,24,54,17,27.03
TON/USDT,24,54,17,-5.73
ETH/USDT,24,54,18,537.47
BTC/USDT,24,54,18,302.39
DOGE/USDT,24,54,18,701.65
NEAR/USDT,24,54,18,58.59
TIA/USDT,24,54,18,-33.62
TAO/USDT,24,54,18,33.16
TON/USDT,24,54,18,-5.86
ETH/USDT,24,54,19,492.05
BTC/USDT,24,54,19,342.02
DOGE/USDT,24,54,19,670.55
NEAR/USDT,24,54,19,0.68
TIA/USDT,24,54,19,-71.95
TAO/USDT,24,54,19,17.53
TON/USDT,24,54,19,-5.63
BTC/USDT,24,54,20,318.98
ETH/USDT,24,54,20,519.12
DOGE/USDT,24,54,20,679.01
NEAR/USDT,24,54,20,-15.96
TIA/USDT,24,54,20,-69.22
TAO/USDT,24,54,20,17.66
TON/USDT,24,54,20,-5.73
ETH/USDT,24,54,21,476.21
BTC/USDT,24,54,21,314.71
DOGE/USDT,24,54,21,696.81
NEAR/USDT,24,54,21,-32.15
TIA/USDT,24,54,21,-81.89
TAO/USDT,24,54,21,10.37
TON/USDT,24,54,21,-7.91
ETH/USDT,24,54,22,445.91
BTC/USDT,24,54,22,291.3
DOGE/USDT,24,54,22,679.83
NEAR/USDT,24,54,22,-62.26
TIA/USDT,24,54,22,-74.3
TAO/USDT,24,54,22,-8.99
TON/USDT,24,54,22,-6.87
ETH/USDT,24,54,23,441.58
BTC/USDT,24,54,23,277.61
DOGE/USDT,24,54,23,642.53
NEAR/USDT,24,54,23,-73.22
TIA/USDT,24,54,23,-94.96
TAO/USDT,24,54,23,-18.11
TON/USDT,24,54,23,-6.92
ETH/USDT,24,54,24,393.67
BTC/USDT,24,54,24,251.7
DOGE/USDT,24,54,24,626.92
NEAR/USDT,24,54,24,-4.93
TIA/USDT,24,54,24,-90.89
TAO/USDT,24,54,24,-16.42
TON/USDT,24,54,24,-7.0
ETH/USDT,24,54,25,360.95
BTC/USDT,24,54,25,268.92
DOGE/USDT,24,54,25,600.46
NEAR/USDT,24,54,25,-28.1
TIA/USDT,24,54,25,-100.94
TAO/USDT,24,54,25,-28.2
TON/USDT,24,54,25,-8.2
ETH/USDT,24,54,26,381.6
BTC/USDT,24,54,26,308.35
DOGE/USDT,24,54,26,592.18
NEAR/USDT,24,54,26,-71.26
TIA/USDT,24,54,26,-97.31
TAO/USDT,24,54,26,-35.88
TON/USDT,24,54,26,-10.52
ETH/USDT,24,54,27,402.8
BTC/USDT,24,54,27,323.14
DOGE/USDT,24,54,27,573.33
NEAR/USDT,24,54,27,-78.22
TIA/USDT,24,54,27,-94.65
TAO/USDT,24,54,27,-41.01
TON/USDT,24,54,27,-15.77
ETH/USDT,24,54,28,416.19
BTC/USDT,24,54,28,300.53
DOGE/USDT,24,54,28,604.63
NEAR/USDT,24,54,28,-92.2
TIA/USDT,24,54,28,-100.88
TAO/USDT,24,54,28,-46.66
TON/USDT,24,54,28,-15.86
BTC/USDT,24,54,29,259.91
ETH/USDT,24,54,29,404.21
DOGE/USDT,24,54,29,595.6
NEAR/USDT,24,54,29,-135.64
TIA/USDT,24,54,29,-58.6
TAO/USDT,24,54,29,-34.81
TON/USDT,24,54,29,-11.53
ETH/USDT,24,55,17,493.06
BTC/USDT,24,55,17,297.96
DOGE/USDT,24,55,17,699.8
NEAR/USDT,24,55,17,89.69
TIA/USDT,24,55,17,-65.81
TAO/USDT,24,55,17,26.71
TON/USDT,24,55,17,-5.73
ETH/USDT,24,55,18,517.03
BTC/USDT,24,55,18,289.72
DOGE/USDT,24,55,18,692.09
NEAR/USDT,24,55,18,34.31
TIA/USDT,24,55,18,-53.43
TAO/USDT,24,55,18,39.84
TON/USDT,24,55,18,-6.25
ETH/USDT,24,55,19,498.86
BTC/USDT,24,55,19,347.5
DOGE/USDT,24,55,19,666.97
NEAR/USDT,24,55,19,-8.73
TIA/USDT,24,55,19,-69.29
TAO/USDT,24,55,19,20.7
TON/USDT,24,55,19,-5.73
BTC/USDT,24,55,20,335.35
ETH/USDT,24,55,20,515.21
DOGE/USDT,24,55,20,679.88
NEAR/USDT,24,55,20,-13.15
TIA/USDT,24,55,20,-82.11
TAO/USDT,24,55,20,17.66
TON/USDT,24,55,20,-6.09
BTC/USDT,24,55,21,324.92
ETH/USDT,24,55,21,509.03
DOGE/USDT,24,55,21,683.01
NEAR/USDT,24,55,21,-46.17
TIA/USDT,24,55,21,-93.74
TAO/USDT,24,55,21,0.15
TON/USDT,24,55,21,-8.39
ETH/USDT,24,55,22,466.53
BTC/USDT,24,55,22,290.75
DOGE/USDT,24,55,22,638.3
NEAR/USDT,24,55,22,-66.76
TIA/USDT,24,55,22,-81.31
TAO/USDT,24,55,22,-6.56
TON/USDT,24,55,22,-6.73
ETH/USDT,24,55,23,424.51
BTC/USDT,24,55,23,260.29
DOGE/USDT,24,55,23,633.54
NEAR/USDT,24,55,23,-87.47
TIA/USDT,24,55,23,-98.39
TAO/USDT,24,55,23,-19.87
TON/USDT,24,55,23,-6.92
ETH/USDT,24,55,24,404.85
BTC/USDT,24,55,24,255.51
DOGE/USDT,24,55,24,644.85
NEAR/USDT,24,55,24,-48.08
TIA/USDT,24,55,24,-93.64
TAO/USDT,24,55,24,-27.17
TON/USDT,24,55,24,-7.0
ETH/USDT,24,55,25,373.64
BTC/USDT,24,55,25,274.76
DOGE/USDT,24,55,25,567.5
NEAR/USDT,24,55,25,-36.67
TIA/USDT,24,55,25,-99.31
TAO/USDT,24,55,25,-30.37
TON/USDT,24,55,25,-8.49
ETH/USDT,24,55,26,363.92
BTC/USDT,24,55,26,304.58
DOGE/USDT,24,55,26,591.42
NEAR/USDT,24,55,26,-80.29
TIA/USDT,24,55,26,-94.06
TAO/USDT,24,55,26,-41.47
TON/USDT,24,55,26,-12.76
ETH/USDT,24,55,27,386.07
BTC/USDT,24,55,27,297.66
DOGE/USDT,24,55,27,576.73
